Yates,-76.9389,42.6379230985,Young-Leach Cobblestone Farmhouse and Barn Complex
Yates,-76.9464,42.5561383368,Dr. Henry Spence Cobblestone Farmhouse
Ulster,-74.0943,41.8475248077,Snyder Estate Natural Cement Historic District
Franklin,-74.1291,44.3270474032,Church Street Historic District
Franklin,-74.133,44.3332172625,Cottage Row Historic District
Essex,-74.1246,44.3348966934,Highland Park Historic District
Otsego,-74.7552,42.5176696869,South Worcester Historic District
Greene,-74.4104,42.312088816,Pratt Rock Park
Erie,-78.6221,42.9469412249,"Hull, Warren, House"
Kings,-73.9564,40.6598466413,Lefferts Manor Historic District
Tompkins,-76.4869,42.4552916222,Cornell Heights Historic District
Kings,-73.9953,40.690628097,Atlantic Avenue Tunnel
Jefferson,-76.0687,43.9472883138,Stephenson/Frink Farm
Saratoga,-73.6782,42.8771910528,Mechanicville Hydroelectric Plant
Dutchess,-73.8946,41.8966027206,Rock Ledge
Franklin,-74.1355,44.3225663965,Sloan Cottage
Cayuga,-76.5655,42.9240063594,South Street Area Historic District
Seneca,-76.7943,42.9138624493,Seneca Falls Village Historic District
Oswego,-76.1453,43.4258577183,Red Mill Farm
Cattaraugus,-78.6735,42.2749465794,Ellicottville Historic District
Franklin,-74.1489,44.3503175525,Camp Intermission
Bronx,-73.9299,40.842320562,High Bridge Aqueduct and Water Tower
Jefferson,-76.3663,44.1059137611,Johnson House
Rockland,-73.9063,41.0118294383,Closter Road--Oak Tree Road Historic District
Rockland,-73.9164,41.0121469217,Washington Spring Road--Woods Road Historic District
Dutchess,-73.9512,41.5422540258,Stony Kill Farm
Dutchess,-73.7568,41.8008118861,Bloomvale Historic District
Kings,-73.9127,40.7048272887,Cypress Avenue West Historic District
Wyoming,-78.1307,42.743138826,Monument Circle Historic District
Suffolk,-73.1502,40.7718306675,Southside Sportsmen's Club District
Dutchess,-73.9431,41.577202802,Wheeler Hill Historic District
Rockland,-73.9904,41.1468432776,Rockland County Courthouse and Dutch Gardens
Suffolk,-73.1833,40.856823756,Branch Historic District
Lewis,-75.4094,43.562754405,"Collins, Jonathan C., House and Cemetery"
Chautauqua,-79.3321,42.4402477856,Fredonia Commons Historic District
Columbia,-73.8467,42.1953123969,Oak Hill
Delaware,-74.8809,42.4216257266,Hanford Mill
Schenectady,-73.9457,42.8179870763,Stockade Historic District
Schoharie,-74.4097,42.5250452132,Breakabeen Historic District
Schoharie,-74.3018,42.7023859283,Sternbergh House
Bronx,-73.9245,40.8111134837,Mott Haven Historic District
Orange,-74.0628,41.4744123804,New Windsor Cantonment
Otsego,-75.3188,42.3370783502,Unadilla Water Works
Otsego,-75.3131,42.3258837092,Unadilla Historic District
Nassau,-73.6427,40.7203727599,Cathedral of the Incarnation Complex
Otsego,-75.3134,42.3448649568,Unadilla Water Works
Westchester,-73.7306,41.2289501071,The Woodpile
Orange,-74.1757,41.5259717802,"Hill, Nathaniel, Brick House"
Suffolk,-73.4207,40.8754685983,Heckscher Park (Huntington)
Suffolk,-73.4152,40.8754725279,Old Town Green Historic District
Westchester,-73.7962,41.0120697899,Bronx River Parkway Reservation
Saratoga,-73.4939,43.3713062549,Old Champlain Canal
Suffolk,-72.3564,41.0844877894,Shelter Island Heights Historic District
Greene,-74.1673,42.1559790037,Elka Park Historic District
Montgomery,-74.1044,42.9641308373,"Jones, Samuel and Johanna Farm"
Sullivan,-75.0579,41.7701257639,St. Joseph's Seminary
Suffolk,-73.1837,40.9030096219,Beachbend
Suffolk,-73.1804,40.8918617495,By-the-Harbor
Suffolk,-73.1542,40.9134878073,East Farm
Suffolk,-73.1783,40.8969860216,Harbor House
Suffolk,-73.1865,40.9136765131,Land of Clover
Suffolk,-73.1813,40.9163327863,Rassapeague
Suffolk,-73.1875,40.9036890716,"Ryan, William J., Estate"
Suffolk,-73.1686,40.8926778915,"Wetherill, Kate Anette, Estate"
Suffolk,-73.1825,40.899956629,Woodcrest
Putnam,-73.9139,41.4116101841,Indian Brook Road Historic District
Oswego,-76.4763,43.4233799246,Riverside Cemetery
Dutchess,-73.9371,41.8025969756,Vanderbilt Lane Historic District
Dutchess,-73.9376,41.7898034073,Main St. - Albertson St. Historic District
Dutchess,-73.9344,41.7984467822,"Howard, Thomas H., Estate - The Craigs"
Dutchess,-73.9388,41.7796465994,"Rogers, Archibald, Estate - Crumwold"
Dutchess,-73.5174,41.9049450956,Coleman Station Historic District
Sullivan,-74.9706,41.4882789721,Minisink Battlefield
Columbia,-73.757,42.1889852546,"Van Rensselaer, Henry I., House"
Essex,-73.4179,44.1550510582,Camp Dudley Road Historic District
Monroe,-77.5912,42.9517519807,Honeoye Falls Historic District
Putnam,-73.9453,41.3751451235,Garrison Grist Mill Historic District
Otsego,-74.9881,42.8534183296,West Main Street / James Street Historic District
Orange,-74.0864,41.4105635115,"Sayer, Mary Van Duzer, House"
Orange,-74.0239,41.4376060826,Scribner House
Westchester,-73.7253,41.2446099096,"Mandel, Richard H., House"
Montgomery,-74.6964,43.0045087745,Stone Grist Mill Complex
