National Register of Historic Places,,,,,,,,,,
National Historic Landmarks Documentation,,,,,,,,,,
Note:  Not all NHLs have been digitized yet,,,,,,,,,,
,,,,,,,,,,
Reference,State,County,City,Resource,Address,Date Listed,,Text,,Photos
Number,,,,Name,,on NR,,Click me,,Click me
90001318,ALABAMA             ,Perry                   ,Marion                              ,Kenworthy Hall                                                                                                          ,"AL 14, W of Marion                                                                                                      ",19900823,http://pdfhost.focus.nps.gov/docs/nhls/text/90001318.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/90001318.PDF,Photos
83003521,ALABAMA             ,Pickens                 ,Pickensville                        ,MONTGOMERY (snagboat)                                                                                                   ,Tom Bevill Visitor Center                                                                                               ,19831128,http://pdfhost.focus.nps.gov/docs/nhls/text/83003521.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/83003521.PDF,Photos
66000931,ALABAMA             ,Russell                 ,Holy Trinity                        ,Apalachicola Fort                                                                                                       ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000931.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000931.PDF,Photos
72000178,ALABAMA             ,Russell                 ,Fort Mitchell                       ,Fort Mitchell Site                                                                                                      ,Address Restricted                                                                                                      ,19720613,http://pdfhost.focus.nps.gov/docs/nhls/text/72000178.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000178.PDF,Photos
95000453,ALABAMA             ,Russell                 ,Fort Benning                        ,Yuchi Town                                                                                                              ,Address Restricted                                                                                                      ,19960619,http://pdfhost.focus.nps.gov/docs/nhls/text/95000453.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/95000453.PDF,Photos
66000154,ALABAMA             ,Talladega               ,Talladega                           ,"Curry, J. L. M., House                                                                                                  ",3 mi. NE of Talladega on AL 21                                                                                          ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000154.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000154.PDF,Photos
74002223,ALABAMA             ,Talladega               ,Talladega                           ,Swayne Hall                                                                                                             ,Talladega College campus                                                                                                ,19741202,http://pdfhost.focus.nps.gov/docs/nhls/text/74002223.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/74002223.PDF,Photos
05000457,ALABAMA             ,Tuscaloosa              ,Tuscaloosa                          ,"Foster Auditorium, The University of Alabama                                                                            ",Sixth Avenue                                                                                                            ,20050405,http://pdfhost.focus.nps.gov/docs/nhls/text/05000457.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/05000457.PDF,Photos
87000841,ALASKA              ,Aleutians West          ,Adak Station                        ,Adak Army Base and Adak Naval Operating Station                                                                         ,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay                                                           ",19870227,http://pdfhost.focus.nps.gov/docs/nhls/text/87000841.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/87000841.PDF,Photos
78000512,ALASKA              ,Aleutians West          ,Nikolski                            ,Anangula Archeological District                                                                                         ,Address Restricted                                                                                                      ,19780602,http://pdfhost.focus.nps.gov/docs/nhls/text/78000512.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000512.PDF,Photos
85002729,ALASKA              ,Aleutians West          ,Aleutian Islands                    ,Attu Battlefield and U.S. Army and Navy Airfields on Attu                                                               ,Attu Island                                                                                                             ,19850204,http://pdfhost.focus.nps.gov/docs/nhls/text/85002729.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002729.PDF,Photos
87001301,ALASKA              ,Aleutians West          ,Fort Glenn                          ,Cape Field at Fort Glenn (Umnak Island)                                                                                 ,NE section of Umnak Island                                                                                              ,19870528,http://pdfhost.focus.nps.gov/docs/nhls/text/87001301.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/87001301.PDF,Photos
66000155,ALASKA              ,Aleutians West          ,Nikolski                            ,Chaluka Site                                                                                                            ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000155.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000155.PDF,Photos
70000112,ALASKA              ,Aleutians West          ,Unalaska                            ,Church of the Holy Ascension                                                                                            ,In Unalaska                                                                                                             ,19700415,http://pdfhost.focus.nps.gov/docs/nhls/text/70000112.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/70000112.PDF,Photos
85002733,ALASKA              ,Aleutians West          ,Unalaska                            ,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army                                                             ",Amaknak Island                                                                                                          ,19850204,http://pdfhost.focus.nps.gov/docs/nhls/text/85002733.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002733.PDF,Photos
85002732,ALASKA              ,Aleutians West          ,Aleutian Islands                    ,"Japanese Occupation Site, Kiska Island                                                                                  ",Kiska Island                                                                                                            ,19850204,http://pdfhost.focus.nps.gov/docs/nhls/text/85002732.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002732.PDF,Photos
66000156,ALASKA              ,Aleutians West          ,Pribilof Islands                    ,Seal Island Historic District                                                                                           ,St. Paul and St. George Islands                                                                                         ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000156.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000156.PDF,Photos
78000513,ALASKA              ,Aleutians West          ,Unalaska                            ,Sitka Spruce Plantation                                                                                                 ,N of Unalaska on Amaknak Island                                                                                         ,19780214,http://pdfhost.focus.nps.gov/docs/nhls/text/78000513.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000513.PDF,Photos
78000342,ALASKA              ,Bristol Bay             ,Naknek                              ,Brooks River Archeological District                                                                                     ,Address Restricted                                                                                                      ,19780214,http://pdfhost.focus.nps.gov/docs/nhls/text/78000342.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000342.PDF,Photos
94001644,ALASKA              ,Bristol Bay             ,Nondalton                           ,Kijik Archeological District                                                                                            ,Address Restricted                                                                                                      ,19941012,http://pdfhost.focus.nps.gov/docs/nhls/text/94001644.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/94001644.PDF,Photos
05000460,ALASKA              ,Dillingham              ,King Salmon                         ,Amalik Bay Archeological District                                                                                       ,Katmai National Park and Preserve--Address Restricted                                                                   ,20050405,http://pdfhost.focus.nps.gov/docs/nhls/text/05000460.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/05000460.PDF,Photos
85002730,ALASKA              ,Fairbanks North Star    ,Fairbanks                           ,Ladd Field                                                                                                              ,Address Unknown                                                                                                         ,19850204,http://pdfhost.focus.nps.gov/docs/nhls/text/85002730.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002730.PDF,Photos
72001581,ALASKA              ,Fairbanks North Star    ,Fairbanks                           ,NENANA (steamer)                                                                                                        ,Alaskaland                                                                                                              ,19720627,http://pdfhost.focus.nps.gov/docs/nhls/text/72001581.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72001581.PDF,Photos
72001542,ALASKA              ,Fairbanks North Star    ,Fairbanks                           ,"Thomas, George C., Memorial Library                                                                                     ",901 1st Ave.                                                                                                            ,19720223,http://pdfhost.focus.nps.gov/docs/nhls/text/72001542.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72001542.PDF,Photos
72000190,ALASKA              ,Haines                  ,Haines                              ,Fort William H. Seward                                                                                                  ,S of Haines at Port Chilkoot                                                                                            ,19720411,http://pdfhost.focus.nps.gov/docs/nhls/text/72000190.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000190.PDF,Photos
78000529,ALASKA              ,Juneau                  ,Taku Harbor                         ,Fort Durham Site                                                                                                        ,Address Restricted                                                                                                      ,19780505,http://pdfhost.focus.nps.gov/docs/nhls/text/78000529.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000529.PDF,Photos
